# gate-level simulation of netlist.hal.v after reset (en=1)
# cycle  netlist state   recovered model
#        (de-inverted)   (16-bit LFSR)
     0  0xACE1          0xACE1
     1  0x59C3          0x59C3
     2  0xB386          0xB386
     3  0x670C          0x670C
     4  0xCE18          0xCE18
     5  0x9C31          0x9C31
     6  0x3862          0x3862
     7  0x70C5          0x70C5
     8  0xE18A          0xE18A
     9  0xC315          0xC315
    10  0x862A          0x862A
    11  0x0C54          0x0C54
    12  0x18A8          0x18A8
    13  0x3150          0x3150
    14  0x62A1          0x62A1
    15  0xC543          0xC543
    16  0x8A86          0x8A86
    17  0x150D          0x150D
    18  0x2A1A          0x2A1A
    19  0x5435          0x5435
    20  0xA86A          0xA86A
    21  0x50D4          0x50D4
    22  0xA1A8          0xA1A8
    23  0x4350          0x4350
    24  0x86A1          0x86A1
    25  0x0D43          0x0D43
    26  0x1A86          0x1A86
    27  0x350D          0x350D
    28  0x6A1A          0x6A1A
    29  0xD434          0xD434
    30  0xA869          0xA869
    31  0x50D2          0x50D2
    32  0xA1A4          0xA1A4
    33  0x4349          0x4349
    34  0x8692          0x8692
    35  0x0D25          0x0D25
    36  0x1A4A          0x1A4A
    37  0x3494          0x3494
    38  0x6929          0x6929
    39  0xD252          0xD252
    40  0xA4A5          0xA4A5
    41  0x494B          0x494B
    42  0x9296          0x9296
    43  0x252C          0x252C
    44  0x4A59          0x4A59
    45  0x94B2          0x94B2
    46  0x2964          0x2964
    47  0x52C8          0x52C8
    48  0xA591          0xA591
    49  0x4B23          0x4B23
    50  0x9647          0x9647
    51  0x2C8E          0x2C8E
    52  0x591D          0x591D
    53  0xB23B          0xB23B
    54  0x6477          0x6477
    55  0xC8EF          0xC8EF
    56  0x91DF          0x91DF
    57  0x23BF          0x23BF
    58  0x477F          0x477F
    59  0x8EFE          0x8EFE
    60  0x1DFC          0x1DFC
    61  0x3BF8          0x3BF8
    62  0x77F0          0x77F0
    63  0xEFE0          0xEFE0
